ID_A,ID_B,Level
1023,0,Moderate
0,1090,Moderate
44,473,Major
88,473,Minor
108,473,Major
217,473,Major
218,473,Major
473,220,Major
473,221,Major
473,223,Major
473,225,Major
473,226,Major
768,473,Major
311,473,Minor
321,473,Minor
343,473,Minor
414,473,Minor
793,473,Major
806,804,Moderate
473,891,Major
473,892,Major
473,893,Major
473,894,Major
473,895,Major
473,897,Major
898,473,Major
899,473,Major
806,902,Moderate
936,473,Moderate
979,473,Minor
1023,806,Moderate
806,1090,Moderate
806,1379,Moderate
1391,473,Major
1528,473,Minor
1591,71,Moderate
1591,72,Moderate
1591,73,Moderate
155,1591,Moderate
1591,195,Moderate
1591,311,Minor
1591,321,Minor
1591,414,Moderate
1591,711,Moderate
1591,1023,Moderate
1591,1221,Moderate
1591,1223,Moderate
1591,1317,Moderate
1591,1357,Moderate
1591,1503,Moderate
39,1,Moderate
88,1,Moderate
155,1,Moderate
195,1,Moderate
201,1,Moderate
316,1,Moderate
321,1,Moderate
414,1,Moderate
420,1,Moderate
472,1,Moderate
491,1,Moderate
512,1,Moderate
550,1,Moderate
680,1,Moderate
687,1,Moderate
711,1,Moderate
809,1,Moderate
852,1,Moderate
1018,1,Moderate
1021,1,Moderate
1028,1,Moderate
1053,1,Moderate
1085,1,Moderate
1086,1,Moderate
1124,1,Moderate
1187,1,Moderate
1221,1,Moderate
1223,1,Moderate
1265,1,Moderate
1282,1,Moderate
1312,1,Moderate
1333,1,Moderate
1349,1,Moderate
1357,1,Moderate
1469,1,Moderate
1503,1,Moderate
1528,1,Moderate
88,3,Moderate
321,3,Major
343,3,Moderate
414,3,Moderate
936,3,Moderate
1023,3,Moderate
1528,3,Moderate
4,168,Moderate
316,4,Major
321,4,Moderate
419,4,Moderate
472,4,Major
4,512,Major
4,514,Moderate
580,4,Moderate
585,4,Moderate
4,681,Moderate
687,4,Moderate
4,804,Moderate
805,4,Moderate
838,4,Moderate
868,4,Major
4,894,Moderate
4,897,Moderate
968,4,Moderate
972,4,Minor
4,1021,Minor
1023,4,Moderate
1053,4,Moderate
1086,4,Moderate
1120,4,Moderate
1125,4,Major
1159,4,Moderate
1187,4,Moderate
1282,4,Moderate
1316,4,Moderate
88,1116,Moderate
98,1116,Minor
311,1116,Moderate
321,1116,Moderate
343,1116,Moderate
1116,414,Moderate
1116,512,Moderate
838,1116,Minor
972,1116,Moderate
979,1116,Moderate
1116,1312,Moderate
1317,1116,Moderate
1357,1116,Moderate
1469,1116,Moderate
1528,1116,Moderate
155,781,Moderate
781,195,Moderate
781,414,Moderate
488,781,Major
711,781,Moderate
781,989,Major
1023,781,Moderate
1053,781,Moderate
1221,781,Moderate
1223,781,Moderate
1446,781,Major
1503,781,Moderate
1575,781,Major
590,45,Major
88,590,Major
106,590,Moderate
590,201,Major
311,590,Moderate
590,321,Major
325,590,Moderate
343,590,Major
590,414,Major
590,419,Major
440,590,Moderate
472,590,Major
491,590,Moderate
590,514,Moderate
585,590,Major
590,682,Moderate
590,683,Moderate
590,687,Major
722,590,Moderate
590,873,Major
905,590,Moderate
590,921,Moderate
590,952,Moderate
590,968,Moderate
590,979,Moderate
1007,590,Major
1008,590,Major
1013,590,Moderate
590,1022,Moderate
1023,590,Major
590,1086,Major
1120,590,Major
1163,590,Moderate
1243,590,Moderate
1334,590,Moderate
590,1349,Major
1528,590,Moderate
1533,590,Moderate
44,5,Moderate
88,5,Major
16,5,Major
218,5,Moderate
311,5,Moderate
321,5,Major
343,5,Moderate
414,5,Moderate
419,5,Moderate
420,5,Major
550,5,Major
580,5,Moderate
585,5,Moderate
682,5,Moderate
809,5,Major
891,5,Moderate
892,5,Moderate
897,5,Moderate
898,5,Moderate
979,5,Moderate
1061,5,Moderate
1085,5,Major
1124,5,Major
1265,5,Major
1271,5,Moderate
1272,5,Moderate
1349,5,Moderate
1528,5,Moderate
7,11,Moderate
7,1324,Moderate
28,7,Minor
7,40,Moderate
858,7,Minor
7,49,Minor
7,76,Moderate
7,82,Minor
7,92,Moderate
7,99,Moderate
7,101,Moderate
7,135,Moderate
7,140,Moderate
7,147,Moderate
7,148,Moderate
7,155,Moderate
7,156,Minor
176,7,Moderate
7,182,Moderate
7,183,Moderate
7,197,Moderate
7,229,Moderate
7,239,Moderate
7,277,Moderate
7,20,Moderate
7,294,Moderate
7,297,Moderate
7,299,Moderate
7,304,Moderate
7,305,Moderate
7,314,Moderate
7,315,Moderate
7,321,Moderate
7,331,Minor
7,332,Minor
7,333,Moderate
7,345,Moderate
7,355,Moderate
7,1445,Moderate
7,372,Moderate
7,379,Moderate
7,387,Moderate
7,396,Moderate
7,399,Moderate
7,410,Minor
7,411,Minor
7,414,Moderate
7,416,Minor
7,417,Minor
7,419,Moderate
7,432,Moderate
7,437,Moderate
439,7,Minor
7,442,Moderate
7,444,Moderate
445,7,Moderate
447,7,Minor
7,449,Moderate
7,450,Moderate
7,468,Moderate
7,475,Moderate
7,494,Moderate
7,507,Moderate
7,522,Moderate
7,527,Moderate
7,529,Moderate
7,532,Moderate
7,552,Moderate
7,553,Moderate
7,554,Moderate
7,555,Moderate
7,556,Moderate
7,557,Moderate
7,559,Moderate
7,562,Moderate
7,564,Moderate
7,572,Moderate
7,575,Moderate
7,585,Moderate
7,609,Moderate
7,615,Minor
7,621,Moderate
7,622,Minor
7,629,Minor
7,635,Moderate
7,636,Moderate
7,642,Moderate
7,648,Moderate
7,666,Major
7,670,Moderate
686,7,Moderate
7,689,Moderate
7,697,Minor
7,1541,Minor
