ID_A,ID_B,Level
686,1357,Unknown
686,995,Unknown
686,1317,Unknown
408,805,Unknown
408,1357,Unknown
368,1007,Unknown
368,936,Unknown
368,1316,Unknown
368,106,Unknown
368,805,Unknown
368,1061,Unknown
368,1070,Unknown
368,1334,Unknown
368,472,Unknown
368,1446,Unknown
368,1206,Unknown
368,687,Unknown
368,1086,Unknown
368,580,Unknown
368,995,Unknown
368,989,Unknown
368,1421,Unknown
368,1187,Unknown
368,219,Unknown
1073,1391,Unknown
1073,805,Unknown
1073,1357,Unknown
1073,1070,Unknown
1073,1317,Unknown
361,676,Unknown
361,930,Unknown
361,488,Unknown
361,7,Unknown
361,1007,Unknown
361,936,Unknown
361,1391,Unknown
361,1316,Unknown
361,1554,Unknown
361,805,Unknown
361,1503,Unknown
361,1223,Unknown
361,1357,Unknown
361,1070,Unknown
361,1028,Unknown
361,711,Unknown
361,1399,Unknown
361,440,Unknown
361,868,Unknown
361,1221,Unknown
361,687,Unknown
361,1086,Unknown
361,972,Unknown
361,995,Unknown
361,680,Unknown
361,677,Unknown
361,1421,Unknown
361,1090,Unknown
361,1317,Unknown
361,1187,Unknown
361,321,Unknown
361,968,Unknown
361,414,Unknown
361,1546,Unknown
368,215,Unknown
361,215,Unknown
215,632,Unknown
215,1217,Unknown
215,631,Unknown
215,1553,Unknown
215,1270,Unknown
215,872,Unknown
215,176,Unknown
215,1493,Unknown
215,605,Unknown
215,545,Unknown
215,1350,Unknown
215,1464,Unknown
215,982,Unknown
215,1124,Unknown
215,1490,Unknown
215,318,Unknown
215,1009,Unknown
215,676,Unknown
215,652,Unknown
215,878,Unknown
215,1224,Unknown
215,1428,Unknown
215,930,Unknown
215,382,Unknown
215,488,Unknown
215,343,Unknown
215,971,Unknown
215,1314,Unknown
215,783,Unknown
215,1488,Unknown
215,848,Unknown
215,1121,Unknown
215,7,Unknown
215,1563,Unknown
215,1498,Unknown
215,1007,Unknown
215,543,Unknown
215,1551,Unknown
215,667,Unknown
215,716,Unknown
215,745,Unknown
215,936,Unknown
215,1075,Unknown
215,1085,Unknown
215,279,Unknown
215,455,Unknown
215,991,Unknown
215,994,Unknown
215,1467,Unknown
215,1237,Unknown
215,1378,Unknown
215,1598,Unknown
215,1010,Unknown
215,1316,Unknown
215,1214,Unknown
215,1383,Unknown
215,944,Unknown
215,1600,Unknown
215,579,Unknown
215,1235,Unknown
215,36,Unknown
215,268,Unknown
215,668,Unknown
215,809,Unknown
215,493,Unknown
215,922,Unknown
215,871,Unknown
215,736,Unknown
215,1005,Unknown
215,619,Unknown
215,496,Unknown
215,819,Unknown
215,1267,Unknown
215,274,Unknown
215,640,Unknown
215,261,Unknown
215,1106,Unknown
215,699,Unknown
215,1305,Unknown
215,1554,Unknown
215,1495,Unknown
215,245,Unknown
215,638,Unknown
215,366,Unknown
215,1310,Unknown
215,315,Unknown
215,657,Unknown
215,1068,Unknown
215,1571,Unknown
215,618,Unknown
215,807,Unknown
215,721,Unknown
215,177,Unknown
215,946,Unknown
215,276,Unknown
215,1247,Unknown
215,340,Unknown
215,1547,Unknown
215,1549,Unknown
215,805,Unknown
215,1578,Unknown
215,518,Unknown
215,1061,Unknown
215,434,Unknown
215,482,Unknown
215,801,Unknown
215,855,Unknown
215,1402,Unknown
215,1503,Unknown
215,1223,Unknown
215,1357,Unknown
215,1070,Unknown
215,814,Unknown
215,1413,Unknown
215,875,Unknown
215,1583,Unknown
215,1478,Unknown
215,648,Unknown
215,1477,Unknown
215,1414,Unknown
215,806,Unknown
215,723,Unknown
215,1131,Unknown
215,860,Unknown
215,1057,Unknown
215,1028,Unknown
215,1303,Unknown
215,711,Unknown
215,1000,Unknown
215,570,Unknown
215,1501,Unknown
215,472,Unknown
215,341,Unknown
215,1206,Unknown
215,573,Unknown
215,1150,Unknown
215,1399,Unknown
215,671,Unknown
215,1145,Unknown
215,1287,Unknown
215,590,Unknown
215,918,Unknown
215,1246,Unknown
215,431,Unknown
215,247,Unknown
215,868,Unknown
215,1100,Unknown
215,474,Unknown
215,1429,Unknown
215,1221,Unknown
215,1271,Unknown
215,1408,Unknown
215,1359,Unknown
215,1260,Unknown
215,779,Unknown
215,1302,Unknown
215,687,Unknown
215,1508,Unknown
215,1086,Unknown
215,165,Unknown
215,1601,Unknown
215,1282,Unknown
215,972,Unknown
215,364,Unknown
215,580,Unknown
215,995,Unknown
215,1327,Unknown
215,597,Unknown
215,962,Unknown
215,1426,Unknown
215,407,Unknown
215,956,Unknown
215,577,Unknown
215,464,Unknown
215,1425,Unknown
215,1307,Unknown
215,109,Unknown
215,649,Unknown
215,664,Unknown
215,823,Unknown
215,797,Unknown
215,312,Unknown
215,680,Unknown
215,780,Unknown
215,584,Unknown
215,1012,Unknown
215,796,Unknown
215,765,Unknown
215,928,Unknown
215,1486,Unknown
215,586,Unknown
215,1452,Unknown
215,666,Unknown
215,725,Unknown
215,1065,Unknown
215,1105,Unknown
215,677,Unknown
215,339,Unknown
215,1241,Unknown
215,569,Unknown
215,1421,Unknown
215,733,Unknown
215,630,Unknown
215,817,Unknown
215,1317,Unknown
215,1346,Unknown
215,273,Unknown
215,1044,Unknown
215,497,Unknown
215,1265,Unknown
215,1187,Unknown
215,244,Unknown
215,248,Unknown
215,483,Unknown
215,1432,Unknown
215,1074,Unknown
215,785,Unknown
215,731,Unknown
215,233,Unknown
215,1602,Unknown
215,829,Unknown
215,321,Unknown
215,272,Unknown
215,551,Unknown
215,599,Unknown
215,1259,Unknown
215,968,Unknown
