ID_A,ID_B,Level
1119,322,Moderate
349,1119,Moderate
355,1119,Moderate
404,1119,Moderate
914,1119,Moderate
1119,1127,Moderate
1423,1119,Moderate
1119,29,Moderate
1485,1119,Moderate
1490,1119,Moderate
1491,1119,Moderate
606,1120,Moderate
1120,914,Moderate
1120,1190,Moderate
1423,1120,Moderate
1120,29,Moderate
96,1122,Moderate
1122,609,Moderate
717,1122,Moderate
1280,1122,Moderate
1296,1122,Moderate
1402,1122,Moderate
512,1125,Moderate
1125,717,Moderate
914,1125,Moderate
1296,1125,Moderate
1401,1125,Moderate
1423,1125,Moderate
29,1125,Moderate
1126,17,Moderate
112,1126,Moderate
1126,322,Moderate
1126,278,Moderate
1126,349,Moderate
355,1126,Moderate
404,1126,Moderate
1126,513,Moderate
515,1126,Moderate
516,1126,Moderate
1126,717,Moderate
1126,914,Moderate
1126,997,Moderate
1126,1127,Moderate
1139,1126,Moderate
1142,1126,Moderate
1126,1210,Moderate
1126,901,Moderate
1126,1296,Moderate
1126,1401,Moderate
1126,1418,Moderate
1423,1126,Moderate
1126,29,Moderate
1485,1126,Moderate
1126,1490,Moderate
1491,1126,Moderate
1126,1548,Moderate
914,1130,Moderate
1423,1130,Moderate
1130,29,Moderate
1133,914,Moderate
1133,1210,Moderate
1133,1423,Moderate
1133,29,Moderate
1138,773,Moderate
1140,773,Moderate
1145,56,Moderate
1145,112,Moderate
1145,1116,Moderate
1145,322,Moderate
1145,349,Moderate
1145,355,Moderate
1145,404,Moderate
1145,914,Moderate
1145,1073,Moderate
1145,1127,Moderate
1145,1190,Moderate
1145,1280,Moderate
1145,1423,Moderate
1145,29,Moderate
1145,1485,Moderate
1145,1490,Moderate
1145,1491,Moderate
96,1152,Moderate
717,1152,Moderate
1296,1152,Moderate
1401,1152,Moderate
1402,1152,Moderate
29,1152,Moderate
1550,1152,Moderate
112,1154,Moderate
1154,1116,Moderate
1154,322,Moderate
1154,278,Moderate
1154,349,Moderate
355,1154,Moderate
404,1154,Moderate
664,1154,Moderate
1154,717,Moderate
914,1154,Moderate
1154,1127,Moderate
1154,1255,Moderate
1296,1154,Moderate
1423,1154,Moderate
1485,1154,Moderate
1490,1154,Moderate
1491,1154,Moderate
1155,512,Moderate
516,1155,Moderate
606,1155,Moderate
1155,663,Moderate
914,1155,Moderate
1190,1155,Moderate
1155,1210,Moderate
1155,901,Moderate
1423,1155,Moderate
1155,29,Moderate
1156,512,Moderate
1156,29,Moderate
1162,606,Moderate
1162,1178,Moderate
1162,1190,Moderate
1162,1470,Moderate
1550,1163,Moderate
96,1164,Moderate
112,1164,Moderate
278,1164,Moderate
355,1164,Moderate
404,1164,Moderate
582,1164,Moderate
606,1164,Moderate
717,1164,Moderate
914,1164,Moderate
1127,1164,Moderate
1190,1164,Moderate
1280,1164,Moderate
1296,1164,Moderate
1401,1164,Moderate
1402,1164,Moderate
29,1164,Moderate
1490,1164,Moderate
1491,1164,Moderate
606,1165,Moderate
1280,1170,Moderate
1550,1170,Moderate
582,1171,Moderate
607,1171,Moderate
1280,1171,Moderate
1402,1171,Moderate
1550,1171,Moderate
401,1172,Moderate
597,1172,Moderate
1172,717,Moderate
1190,1172,Moderate
1296,1172,Moderate
1401,1172,Moderate
1469,1172,Moderate
1470,1172,Moderate
29,1172,Moderate
181,1178,Moderate
434,1178,Moderate
555,1178,Moderate
574,1178,Moderate
606,1178,Moderate
723,1178,Moderate
884,1178,Moderate
1136,1178,Moderate
1178,726,Moderate
1370,1178,Moderate
1451,1178,Moderate
606,1180,Moderate
1280,1180,Moderate
1550,1182,Moderate
1183,1116,Moderate
1183,322,Moderate
1183,349,Moderate
1183,355,Moderate
404,1183,Moderate
1183,914,Moderate
1423,1183,Moderate
1183,29,Moderate
1183,1485,Moderate
1183,1490,Moderate
1183,1491,Moderate
1184,512,Moderate
914,1184,Moderate
1143,1184,Moderate
1190,1184,Moderate
1210,1184,Moderate
1401,1184,Moderate
1423,1184,Moderate
1470,1184,Moderate
29,1184,Moderate
607,1185,Moderate
1186,1550,Moderate
1188,606,Moderate
1188,914,Moderate
1188,1190,Moderate
1423,1188,Moderate
1188,29,Moderate
1192,606,Moderate
1192,1280,Moderate
1198,56,Moderate
112,1198,Moderate
1198,1116,Moderate
1198,322,Moderate
1198,278,Moderate
1198,349,Moderate
355,1198,Moderate
404,1198,Moderate
1198,914,Moderate
1198,1073,Moderate
1198,1127,Moderate
1198,1190,Moderate
1423,1198,Moderate
1198,29,Moderate
1485,1198,Moderate
1490,1198,Moderate
1491,1198,Moderate
664,1201,Moderate
