ID_A,ID_B,Level
1263,1,Moderate
1,1348,Moderate
58,582,Major
112,582,Minor
138,582,Major
270,582,Major
271,582,Major
582,273,Major
582,274,Major
582,276,Major
582,278,Major
582,279,Major
975,582,Major
380,582,Minor
393,582,Minor
416,582,Minor
513,582,Minor
1005,582,Major
1019,1016,Moderate
582,1112,Major
582,1113,Major
582,1114,Major
582,1115,Major
582,1116,Major
582,1118,Major
1119,582,Major
1120,582,Major
1019,1123,Moderate
1164,582,Moderate
1209,582,Minor
1263,1019,Moderate
1019,1348,Moderate
1019,1703,Moderate
1717,582,Major
1881,582,Minor
1961,85,Moderate
1961,86,Moderate
1961,87,Moderate
195,1961,Moderate
1961,246,Moderate
1961,380,Minor
1961,393,Minor
1961,513,Moderate
1961,885,Moderate
1961,1263,Moderate
1961,1513,Moderate
1961,1515,Moderate
1961,1622,Moderate
1961,1675,Moderate
1961,1855,Moderate
52,3,Moderate
112,3,Moderate
195,3,Moderate
246,3,Moderate
252,3,Moderate
385,3,Moderate
393,3,Moderate
513,3,Moderate
519,3,Moderate
581,3,Moderate
601,3,Moderate
629,3,Moderate
676,3,Moderate
831,3,Moderate
840,3,Moderate
885,3,Moderate
1022,3,Moderate
1070,3,Moderate
1258,3,Moderate
1261,3,Moderate
1269,3,Moderate
1300,3,Moderate
1340,3,Moderate
1342,3,Moderate
1388,3,Moderate
1472,3,Moderate
1513,3,Moderate
1515,3,Moderate
1559,3,Moderate
1581,3,Moderate
1615,3,Moderate
1646,3,Moderate
1665,3,Moderate
1675,3,Moderate
1811,3,Moderate
1855,3,Moderate
1881,3,Moderate
112,7,Moderate
393,7,Major
416,7,Moderate
513,7,Moderate
1164,7,Moderate
1263,7,Moderate
1881,7,Moderate
8,212,Moderate
385,8,Major
393,8,Moderate
518,8,Moderate
581,8,Major
8,629,Major
8,632,Moderate
712,8,Moderate
717,8,Moderate
8,832,Moderate
840,8,Moderate
8,1016,Moderate
1018,8,Moderate
1055,8,Moderate
1088,8,Major
8,1115,Moderate
8,1118,Moderate
1197,8,Moderate
1202,8,Minor
8,1261,Minor
1263,8,Moderate
1300,8,Moderate
1342,8,Moderate
1382,8,Moderate
1389,8,Major
1443,8,Moderate
1472,8,Moderate
1581,8,Moderate
1621,8,Moderate
112,1377,Moderate
124,1377,Minor
380,1377,Moderate
393,1377,Moderate
416,1377,Moderate
1377,513,Moderate
1377,629,Moderate
1055,1377,Minor
1202,1377,Moderate
1209,1377,Moderate
1377,1615,Moderate
1622,1377,Moderate
1675,1377,Moderate
1811,1377,Moderate
1881,1377,Moderate
195,991,Moderate
991,246,Moderate
991,513,Moderate
598,991,Major
885,991,Moderate
991,1224,Major
1263,991,Moderate
1300,991,Moderate
1513,991,Moderate
1515,991,Moderate
1783,991,Major
1855,991,Moderate
1941,991,Major
722,59,Major
112,722,Major
136,722,Moderate
722,252,Major
380,722,Moderate
722,393,Major
397,722,Moderate
416,722,Major
722,513,Major
722,518,Major
543,722,Moderate
581,722,Major
601,722,Moderate
722,632,Moderate
717,722,Major
722,833,Moderate
722,834,Moderate
722,840,Major
896,722,Moderate
722,1093,Major
1126,722,Moderate
722,1149,Moderate
722,1180,Moderate
722,1197,Moderate
722,1209,Moderate
1244,722,Major
1245,722,Major
1253,722,Moderate
722,1262,Moderate
1263,722,Major
722,1342,Major
1382,722,Major
1447,722,Moderate
1535,722,Moderate
1647,722,Moderate
722,1665,Major
1881,722,Moderate
1886,722,Moderate
58,9,Moderate
112,9,Major
20,9,Major
271,9,Moderate
380,9,Moderate
393,9,Major
416,9,Moderate
513,9,Moderate
518,9,Moderate
519,9,Major
676,9,Major
712,9,Moderate
717,9,Moderate
833,9,Moderate
1022,9,Major
1112,9,Moderate
1113,9,Moderate
1118,9,Moderate
1119,9,Moderate
1209,9,Moderate
1309,9,Moderate
1340,9,Major
1388,9,Major
1559,9,Major
1568,9,Moderate
1569,9,Moderate
1665,9,Moderate
1881,9,Moderate
11,15,Moderate
11,1632,Moderate
37,11,Minor
11,53,Moderate
1076,11,Minor
11,63,Minor
11,90,Moderate
11,98,Minor
11,118,Moderate
11,125,Moderate
11,129,Moderate
11,170,Moderate
11,179,Moderate
11,187,Moderate
11,188,Moderate
11,195,Moderate
11,196,Minor
222,11,Moderate
11,231,Moderate
11,233,Moderate
11,248,Moderate
11,284,Moderate
11,300,Moderate
11,340,Moderate
11,24,Moderate
11,360,Moderate
11,363,Moderate
11,365,Moderate
11,373,Moderate
11,374,Moderate
11,383,Moderate
11,384,Moderate
11,393,Moderate
11,403,Minor
11,404,Minor
11,405,Moderate
11,419,Moderate
11,441,Moderate
11,1782,Moderate
11,462,Moderate
11,472,Moderate
11,482,Moderate
11,492,Moderate
11,495,Moderate
11,509,Minor
11,510,Minor
11,513,Moderate
11,515,Minor
11,516,Minor
11,518,Moderate
11,535,Moderate
11,540,Moderate
542,11,Minor
11,545,Moderate
11,547,Moderate
548,11,Moderate
550,11,Minor
11,553,Moderate
11,554,Moderate
11,577,Moderate
11,584,Moderate
11,604,Moderate
11,624,Moderate
11,644,Moderate
11,650,Moderate
11,652,Moderate
11,655,Moderate
11,679,Moderate
11,680,Moderate
11,681,Moderate
11,682,Moderate
11,683,Moderate
11,684,Moderate
11,686,Moderate
11,690,Moderate
11,692,Moderate
11,701,Moderate
11,704,Moderate
11,717,Moderate
11,747,Moderate
11,753,Minor
11,760,Moderate
11,761,Minor
11,768,Minor
11,776,Moderate
11,777,Moderate
11,783,Moderate
11,790,Moderate
11,809,Major
11,813,Moderate
839,11,Moderate
11,842,Moderate
11,851,Minor
11,1898,Minor
11,864,Moderate
11,883,Moderate
11,885,Moderate
11,887,Minor
11,889,Moderate
11,905,Moderate
11,907,Moderate
11,915,Moderate
11,916,Moderate
917,11,Moderate
11,986,Moderate
11,987,Moderate
11,1021,Moderate
11,1033,Major
1042,11,Moderate
11,1055,Moderate
11,1061,Moderate
11,1064,Moderate
1074,11,Moderate
11,1075,Moderate
11,1081,Moderate
11,1084,Moderate
11,1085,Major
11,1093,Moderate
11,1102,Moderate
11,1104,Moderate
11,1126,Moderate
11,1137,Moderate
11,1141,Moderate
11,1151,Moderate
11,1159,Moderate
11,1346,Moderate
11,1162,Moderate
11,1164,Minor
11,1161,Moderate
11,1167,Moderate
11,1168,Moderate
11,1174,Moderate
11,1175,Moderate
11,1176,Moderate
11,1191,Moderate
11,1192,Minor
11,1199,Moderate
11,1214,Moderate
1247,11,Moderate
11,1259,Moderate
11,1263,Moderate
1276,11,Moderate
11,1286,Moderate
11,1289,Moderate
11,1311,Moderate
11,1312,Moderate
11,1313,Moderate
11,1315,Moderate
1323,11,Moderate
11,1325,Moderate
11,1326,Moderate
11,1335,Moderate
11,1348,Moderate
11,1381,Moderate
11,1398,Moderate
11,1420,Moderate
11,1432,Moderate
11,1435,Major
11,1439,Moderate
1447,11,Moderate
11,1453,Moderate
11,1458,Moderate
1460,11,Moderate
11,1490,Moderate
11,1506,Moderate
11,1512,Minor
11,1513,Moderate
11,1515,Moderate
11,1527,Moderate
11,1529,Moderate
11,1530,Moderate
11,1532,Moderate
11,1533,Moderate
11,1537,Moderate
11,1545,Moderate
11,1553,Moderate
11,1555,Moderate
11,1578,Moderate
11,1605,Moderate
11,1606,Moderate
11,1607,Moderate
11,1635,Moderate
11,1640,Moderate
11,1665,Moderate
11,1678,Moderate
11,1705,Moderate
11,1717,Moderate
11,1735,Moderate
11,1763,Moderate
11,1769,Moderate
11,1771,Major
11,1773,Moderate
11,1793,Moderate
11,1814,Moderate
11,1796,Moderate
11,1817,Moderate
1836,11,Moderate
11,1840,Moderate
11,1855,Moderate
11,1857,Moderate
11,1858,Minor
11,1861,Moderate
11,1866,Moderate
11,1867,Moderate
11,45,Moderate
11,1880,Moderate
11,1887,Moderate
11,1947,Moderate
11,1951,Minor
1967,11,Moderate
1066,112,Moderate
1066,252,Major
1066,380,Moderate
1066,513,Minor
1066,1004,Minor
1066,1245,Moderate
1066,1319,Moderate
1066,1340,Minor
1066,1713,Minor
1881,1066,Minor
1453,16,Moderate
1453,51,Moderate
136,362,Moderate
1453,137,Moderate
362,252,Moderate
1453,280,Moderate
1453,364,Moderate
1453,397,Moderate
1453,474,Moderate
543,362,Moderate
1453,547,Moderate
601,362,Moderate
362,629,Moderate
362,632,Moderate
1453,636,Moderate
1453,669,Moderate
825,1453,Moderate
1453,826,Moderate
1453,831,Moderate
362,833,Moderate
834,362,Moderate
835,362,Moderate
1453,896,Moderate
1453,1070,Moderate
1453,1082,Moderate
1088,362,Moderate
362,1093,Moderate
1453,1126,Moderate
362,1149,Moderate
1164,1453,Moderate
362,1180,Moderate
362,1197,Moderate
1453,1217,Moderate
1244,362,Moderate
1245,362,Moderate
1253,362,Moderate
1453,1269,Moderate
1447,1453,Moderate
1453,1472,Moderate
1497,362,Major
362,1498,Major
1453,1506,Moderate
1535,362,Moderate
1453,1581,Moderate
362,1615,Moderate
1453,1621,Moderate
1453,1646,Moderate
1453,1647,Moderate
1453,1648,Moderate
1453,1660,Moderate
1453,1665,Moderate
1453,1679,Moderate
1453,1826,Moderate
1453,1828,Moderate
1881,1453,Moderate
1886,362,Moderate
527,518,Major
527,581,Major
527,717,Major
527,840,Major
527,1093,Major
527,1342,Major
1382,527,Major
527,1665,Major
16,12,Moderate
12,58,Minor
20,12,Minor
136,12,Moderate
12,138,Minor
195,12,Moderate
12,246,Moderate
252,12,Moderate
270,12,Moderate
12,271,Moderate
12,273,Moderate
12,274,Moderate
12,276,Moderate
12,278,Moderate
12,279,Moderate
12,280,Moderate
364,12,Moderate
380,12,Moderate
397,12,Moderate
12,474,Moderate
12,513,Moderate
543,12,Moderate
581,12,Major
601,12,Moderate
12,636,Moderate
12,650,Moderate
652,12,Moderate
12,669,Moderate
825,12,Moderate
826,12,Moderate
831,12,Moderate
12,833,Moderate
834,12,Moderate
885,12,Moderate
896,12,Moderate
12,1005,Minor
12,1112,Minor
12,1113,Minor
12,1118,Minor
12,1119,Minor
12,1149,Moderate
12,1180,Moderate
1244,12,Moderate
1245,12,Moderate
1253,12,Moderate
1269,12,Moderate
1513,12,Moderate
1515,12,Moderate
1535,12,Moderate
1581,12,Moderate
1647,12,Moderate
1717,12,Minor
1826,12,Moderate
1828,12,Moderate
1855,12,Moderate
1886,12,Moderate
16,887,Minor
887,51,Minor
887,280,Minor
364,887,Minor
887,474,Minor
887,636,Minor
887,669,Minor
825,887,Minor
887,826,Minor
887,831,Minor
887,1070,Minor
887,1082,Minor
1164,887,Minor
1217,887,Minor
1269,887,Minor
887,1472,Minor
887,1506,Minor
887,1581,Minor
1621,887,Minor
887,1646,Minor
887,1660,Minor
887,1679,Minor
887,1826,Minor
887,1828,Minor
1881,887,Minor
14,136,Minor
14,24,Moderate
14,380,Minor
14,397,Minor
14,543,Minor
14,833,Moderate
14,834,Minor
14,896,Minor
14,1149,Minor
14,1180,Minor
14,1197,Minor
14,1263,Moderate
14,1535,Minor
14,1568,Minor
14,1569,Minor
14,1647,Minor
1886,14,Minor
263,52,Moderate
556,59,Major
112,556,Moderate
263,20,Minor
136,556,Moderate
556,138,Moderate
252,556,Major
380,556,Moderate
397,556,Moderate
513,556,Moderate
518,556,Moderate
543,556,Moderate
581,556,Moderate
601,556,Moderate
556,632,Moderate
717,556,Moderate
834,556,Moderate
840,556,Moderate
896,556,Moderate
556,1005,Moderate
1088,556,Moderate
556,1149,Moderate
556,1180,Moderate
1197,556,Moderate
1244,556,Major
1245,556,Major
1253,556,Moderate
1262,556,Moderate
1263,556,Major
263,1319,Moderate
1342,556,Moderate
