ID_A,ID_B,Level
40,459,Major
104,459,Major
207,459,Major
208,459,Major
459,210,Major
459,211,Major
459,213,Major
459,215,Major
459,216,Major
746,459,Major
771,459,Major
459,865,Major
459,866,Major
459,867,Major
459,868,Major
459,869,Major
459,871,Major
872,459,Major
873,459,Major
1359,459,Major
309,3,Major
304,4,Major
458,4,Major
4,497,Major
843,4,Major
1095,4,Major
474,759,Major
759,963,Major
1413,759,Major
1539,759,Major
575,41,Major
84,575,Major
575,192,Major
575,309,Major
330,575,Major
575,400,Major
575,405,Major
458,575,Major
570,575,Major
575,667,Major
575,848,Major
981,575,Major
982,575,Major
996,575,Major
575,1056,Major
1090,575,Major
575,1317,Major
84,5,Major
14,5,Major
309,5,Major
406,5,Major
535,5,Major
786,5,Major
1055,5,Major
1094,5,Major
1234,5,Major
6,646,Major
6,793,Major
6,840,Major
6,1122,Major
6,1403,Major
823,192,Major
1175,285,Major
285,1176,Major
411,405,Major
411,458,Major
411,570,Major
411,667,Major
411,848,Major
411,1056,Major
1090,411,Major
411,1317,Major
458,7,Major
437,41,Major
192,437,Major
981,437,Major
982,437,Major
996,437,Major
337,41,Major
337,192,Major
981,337,Major
982,337,Major
337,996,Major
183,753,Major
438,753,Major
524,753,Major
525,753,Major
749,753,Major
830,753,Major
753,931,Major
932,753,Major
939,753,Major
981,419,Major
982,419,Major
753,1085,Major
1126,753,Major
1203,753,Major
1307,753,Major
1463,753,Major
1459,41,Major
1459,192,Major
1459,304,Major
1459,405,Major
1459,430,Major
1459,458,Major
1459,477,Major
1459,512,Major
1459,570,Major
1459,667,Major
1459,813,Major
1459,848,Major
1459,879,Major
1459,942,Major
1459,981,Major
1459,982,Major
1459,996,Major
1459,1056,Major
1459,1090,Major
1459,1095,Major
1133,1459,Major
1459,1317,Major
9,14,Major
304,9,Major
910,9,Major
565,97,Major
565,375,Major
565,1008,Major
565,1085,Major
565,1103,Major
565,1263,Major
565,1311,Major
565,1326,Major
1443,565,Major
1240,97,Major
1240,375,Major
1240,794,Major
843,1240,Major
1240,1008,Major
1240,1103,Major
1240,1263,Major
1240,1311,Major
1240,1326,Major
97,1234,Major
328,1234,Major
1234,361,Major
1234,375,Major
527,1234,Major
920,1234,Major
1005,1234,Major
1234,1008,Major
1234,1103,Major
1234,1122,Major
1234,1263,Major
1234,1311,Major
474,15,Major
15,963,Major
15,1413,Major
1539,15,Major
1175,17,Major
1176,17,Major
474,54,Major
474,840,Major
474,925,Major
474,1122,Major
474,1466,Major
1539,474,Major
776,14,Major
304,1017,Major
458,1017,Major
304,21,Major
21,458,Major
21,1095,Major
934,192,Major
60,514,Major
64,514,Major
232,514,Major
233,514,Major
514,234,Major
514,325,Major
514,335,Major
514,336,Major
514,391,Major
514,392,Major
438,514,Major
514,469,Major
506,514,Major
514,524,Major
514,525,Major
514,680,Major
715,514,Major
514,751,Major
778,514,Major
514,808,Major
830,514,Major
514,925,Major
932,514,Major
939,514,Major
514,941,Major
514,988,Major
1040,514,Major
514,1108,Major
514,1155,Major
1216,514,Major
1219,514,Major
514,1316,Major
1348,514,Major
1434,514,Major
1435,514,Major
514,1488,Major
14,704,Major
691,58,Major
691,90,Major
691,125,Major
691,131,Major
691,192,Major
691,302,Major
303,691,Major
308,691,Major
691,379,Major
691,385,Major
394,691,Major
457,691,Major
691,478,Major
479,691,Major
507,691,Major
691,585,Major
691,646,Major
691,650,Major
669,691,Major
691,733,Major
691,734,Major
691,793,Major
691,813,Major
691,839,Major
691,958,Major
983,691,Major
691,992,Major
691,1037,Major
691,1045,Major
691,1085,Major
691,1154,Major
691,1326,Major
691,1349,Major
691,1403,Major
691,1419,Major
691,1446,Major
1498,691,Major
691,1507,Major
691,1531,Major
1560,691,Major
196,981,Major
196,982,Major
1293,1095,Major
547,499,Major
910,547,Major
547,946,Major
981,547,Major
203,290,Major
205,290,Major
290,439,Major
290,471,Major
290,522,Major
523,290,Major
290,1098,Major
84,27,Major
27,192,Major
27,309,Major
330,27,Major
27,405,Major
458,27,Major
570,27,Major
27,667,Major
27,848,Major
996,27,Major
27,1056,Major
1090,27,Major
27,1317,Major
613,35,Major
613,430,Major
613,458,Major
616,14,Major
186,618,Major
618,497,Major
843,618,Major
619,497,Major
620,67,Major
620,69,Major
620,458,Major
622,1174,Major
299,624,Major
624,497,Major
309,626,Major
458,627,Major
458,628,Major
630,458,Major
67,643,Major
69,643,Major
649,499,Major
843,649,Major
149,650,Major
287,650,Major
458,650,Major
309,653,Major
458,653,Major
28,304,Major
28,309,Major
