ID_A,ID_B,Level
996,0,Moderate
0,1060,Moderate
783,781,Moderate
783,876,Moderate
910,459,Moderate
996,783,Moderate
783,1060,Moderate
783,1347,Moderate
1554,67,Moderate
1554,68,Moderate
1554,69,Moderate
149,1554,Moderate
1554,186,Moderate
1554,400,Moderate
1554,691,Moderate
1554,996,Moderate
1554,1190,Moderate
1554,1192,Moderate
1554,1286,Moderate
1554,1325,Moderate
1554,1468,Moderate
35,1,Moderate
84,1,Moderate
149,1,Moderate
186,1,Moderate
192,1,Moderate
304,1,Moderate
309,1,Moderate
400,1,Moderate
406,1,Moderate
458,1,Moderate
477,1,Moderate
497,1,Moderate
535,1,Moderate
660,1,Moderate
667,1,Moderate
691,1,Moderate
786,1,Moderate
827,1,Moderate
991,1,Moderate
994,1,Moderate
1001,1,Moderate
1026,1,Moderate
1055,1,Moderate
1056,1,Moderate
1094,1,Moderate
1156,1,Moderate
1190,1,Moderate
1192,1,Moderate
1234,1,Moderate
1251,1,Moderate
1281,1,Moderate
1302,1,Moderate
1317,1,Moderate
1325,1,Moderate
1436,1,Moderate
1468,1,Moderate
1493,1,Moderate
84,3,Moderate
330,3,Moderate
400,3,Moderate
910,3,Moderate
996,3,Moderate
1493,3,Moderate
4,161,Moderate
309,4,Moderate
405,4,Moderate
4,499,Moderate
565,4,Moderate
570,4,Moderate
4,661,Moderate
667,4,Moderate
4,781,Moderate
782,4,Moderate
813,4,Moderate
4,868,Moderate
4,871,Moderate
942,4,Moderate
996,4,Moderate
1026,4,Moderate
1056,4,Moderate
1090,4,Moderate
1129,4,Moderate
1156,4,Moderate
1251,4,Moderate
1285,4,Moderate
84,1086,Moderate
299,1086,Moderate
309,1086,Moderate
330,1086,Moderate
1086,400,Moderate
1086,497,Moderate
946,1086,Moderate
953,1086,Moderate
1086,1281,Moderate
1286,1086,Moderate
1325,1086,Moderate
1436,1086,Moderate
1493,1086,Moderate
149,759,Moderate
759,186,Moderate
759,400,Moderate
691,759,Moderate
996,759,Moderate
1026,759,Moderate
1190,759,Moderate
1192,759,Moderate
1468,759,Moderate
102,575,Moderate
299,575,Moderate
313,575,Moderate
426,575,Moderate
477,575,Moderate
575,499,Moderate
575,662,Moderate
575,663,Moderate
701,575,Moderate
879,575,Moderate
575,895,Moderate
575,926,Moderate
575,942,Moderate
575,953,Moderate
986,575,Moderate
575,995,Moderate
1133,575,Moderate
1212,575,Moderate
1303,575,Moderate
1493,575,Moderate
1497,575,Moderate
40,5,Moderate
208,5,Moderate
299,5,Moderate
330,5,Moderate
400,5,Moderate
405,5,Moderate
565,5,Moderate
570,5,Moderate
662,5,Moderate
865,5,Moderate
866,5,Moderate
871,5,Moderate
872,5,Moderate
953,5,Moderate
1033,5,Moderate
1240,5,Moderate
1241,5,Moderate
1317,5,Moderate
1493,5,Moderate
6,9,Moderate
6,1293,Moderate
6,36,Moderate
6,72,Moderate
6,88,Moderate
6,95,Moderate
6,97,Moderate
6,129,Moderate
6,134,Moderate
6,141,Moderate
6,142,Moderate
6,149,Moderate
169,6,Moderate
6,175,Moderate
6,176,Moderate
6,188,Moderate
6,219,Moderate
6,229,Moderate
6,267,Moderate
6,18,Moderate
6,283,Moderate
6,286,Moderate
6,288,Moderate
6,293,Moderate
6,294,Moderate
6,302,Moderate
6,303,Moderate
6,309,Moderate
6,320,Moderate
6,332,Moderate
6,342,Moderate
6,1412,Moderate
6,358,Moderate
6,365,Moderate
6,373,Moderate
6,382,Moderate
6,385,Moderate
6,400,Moderate
6,405,Moderate
6,418,Moderate
6,423,Moderate
6,428,Moderate
6,430,Moderate
431,6,Moderate
6,435,Moderate
6,436,Moderate
6,454,Moderate
6,461,Moderate
6,480,Moderate
6,492,Moderate
6,507,Moderate
6,512,Moderate
6,514,Moderate
6,517,Moderate
6,537,Moderate
6,538,Moderate
6,539,Moderate
6,540,Moderate
6,541,Moderate
6,542,Moderate
6,544,Moderate
6,547,Moderate
6,549,Moderate
6,557,Moderate
6,560,Moderate
6,570,Moderate
6,594,Moderate
6,603,Moderate
6,617,Moderate
6,618,Moderate
6,624,Moderate
6,630,Moderate
6,650,Moderate
666,6,Moderate
6,669,Moderate
6,684,Moderate
6,689,Moderate
6,691,Moderate
6,694,Moderate
6,709,Moderate
6,711,Moderate
6,717,Moderate
6,718,Moderate
719,6,Moderate
6,754,Moderate
6,755,Moderate
6,785,Moderate
801,6,Moderate
6,813,Moderate
6,819,Moderate
6,822,Moderate
831,6,Moderate
6,832,Moderate
6,836,Moderate
6,839,Moderate
6,848,Moderate
6,856,Moderate
6,858,Moderate
6,879,Moderate
6,886,Moderate
6,890,Moderate
6,897,Moderate
6,905,Moderate
6,1058,Moderate
6,908,Moderate
6,907,Moderate
6,913,Moderate
6,914,Moderate
6,920,Moderate
6,921,Moderate
6,922,Moderate
6,936,Moderate
6,944,Moderate
6,957,Moderate
983,6,Moderate
6,992,Moderate
6,996,Moderate
1005,6,Moderate
6,1012,Moderate
6,1015,Moderate
6,1035,Moderate
6,1036,Moderate
6,1037,Moderate
6,1039,Moderate
1044,6,Moderate
6,1045,Moderate
6,1046,Moderate
6,1053,Moderate
6,1060,Moderate
6,1089,Moderate
6,1102,Moderate
6,1110,Moderate
6,1121,Moderate
6,1125,Moderate
1133,6,Moderate
6,1138,Moderate
6,1143,Moderate
1145,6,Moderate
6,1169,Moderate
6,1184,Moderate
6,1190,Moderate
6,1192,Moderate
6,1204,Moderate
6,1206,Moderate
6,1207,Moderate
6,1209,Moderate
6,1210,Moderate
6,1214,Moderate
6,1221,Moderate
6,1228,Moderate
6,1230,Moderate
6,1248,Moderate
6,1272,Moderate
6,1273,Moderate
6,1274,Moderate
6,1296,Moderate
6,1300,Moderate
6,1317,Moderate
6,1327,Moderate
6,1349,Moderate
6,1359,Moderate
6,1376,Moderate
6,1397,Moderate
6,1401,Moderate
6,1404,Moderate
6,1423,Moderate
6,1437,Moderate
6,1425,Moderate
6,1440,Moderate
1456,6,Moderate
6,1458,Moderate
6,1468,Moderate
6,1470,Moderate
6,1474,Moderate
6,1478,Moderate
6,1479,Moderate
6,29,Moderate
6,1492,Moderate
6,1498,Moderate
6,1543,Moderate
1560,6,Moderate
823,84,Moderate
823,299,Moderate
823,982,Moderate
823,1042,Moderate
1138,10,Moderate
1138,34,Moderate
102,285,Moderate
1138,103,Moderate
285,192,Moderate
1138,217,Moderate
1138,287,Moderate
1138,313,Moderate
1138,367,Moderate
426,285,Moderate
1138,430,Moderate
477,285,Moderate
285,497,Moderate
285,499,Moderate
1138,501,Moderate
1138,529,Moderate
656,1138,Moderate
1138,657,Moderate
1138,660,Moderate
285,662,Moderate
663,285,Moderate
664,285,Moderate
