ID_A,ID_B,Level,label
996,0,Moderate,1
0,1060,Moderate,1
40,459,Major,0
84,459,Minor,2
104,459,Major,0
207,459,Major,0
208,459,Major,0
459,210,Major,0
459,211,Major,0
459,213,Major,0
459,215,Major,0
459,216,Major,0
746,459,Major,0
299,459,Minor,2
309,459,Minor,2
330,459,Minor,2
400,459,Minor,2
771,459,Major,0
783,781,Moderate,1
459,865,Major,0
459,866,Major,0
459,867,Major,0
459,868,Major,0
459,869,Major,0
459,871,Major,0
872,459,Major,0
873,459,Major,0
783,876,Moderate,1
910,459,Moderate,1
953,459,Minor,2
996,783,Moderate,1
783,1060,Moderate,1
783,1347,Moderate,1
1359,459,Major,0
1493,459,Minor,2
1554,67,Moderate,1
1554,68,Moderate,1
1554,69,Moderate,1
149,1554,Moderate,1
1554,186,Moderate,1
1554,299,Minor,2
1554,309,Minor,2
1554,400,Moderate,1
1554,691,Moderate,1
1554,996,Moderate,1
1554,1190,Moderate,1
1554,1192,Moderate,1
1554,1286,Moderate,1
1554,1325,Moderate,1
1554,1468,Moderate,1
35,1,Moderate,1
84,1,Moderate,1
149,1,Moderate,1
186,1,Moderate,1
192,1,Moderate,1
304,1,Moderate,1
309,1,Moderate,1
400,1,Moderate,1
406,1,Moderate,1
458,1,Moderate,1
477,1,Moderate,1
497,1,Moderate,1
535,1,Moderate,1
660,1,Moderate,1
667,1,Moderate,1
691,1,Moderate,1
786,1,Moderate,1
827,1,Moderate,1
991,1,Moderate,1
994,1,Moderate,1
1001,1,Moderate,1
1026,1,Moderate,1
1055,1,Moderate,1
1056,1,Moderate,1
1094,1,Moderate,1
1156,1,Moderate,1
1190,1,Moderate,1
1192,1,Moderate,1
1234,1,Moderate,1
1251,1,Moderate,1
1281,1,Moderate,1
1302,1,Moderate,1
1317,1,Moderate,1
1325,1,Moderate,1
1436,1,Moderate,1
1468,1,Moderate,1
1493,1,Moderate,1
84,3,Moderate,1
309,3,Major,0
330,3,Moderate,1
400,3,Moderate,1
910,3,Moderate,1
996,3,Moderate,1
1493,3,Moderate,1
4,161,Moderate,1
304,4,Major,0
309,4,Moderate,1
405,4,Moderate,1
458,4,Major,0
4,497,Major,0
4,499,Moderate,1
565,4,Moderate,1
570,4,Moderate,1
4,661,Moderate,1
667,4,Moderate,1
4,781,Moderate,1
782,4,Moderate,1
813,4,Moderate,1
843,4,Major,0
4,868,Moderate,1
4,871,Moderate,1
942,4,Moderate,1
946,4,Minor,2
4,994,Minor,2
996,4,Moderate,1
1026,4,Moderate,1
1056,4,Moderate,1
1090,4,Moderate,1
1095,4,Major,0
1129,4,Moderate,1
1156,4,Moderate,1
1251,4,Moderate,1
1285,4,Moderate,1
84,1086,Moderate,1
94,1086,Minor,2
299,1086,Moderate,1
309,1086,Moderate,1
330,1086,Moderate,1
1086,400,Moderate,1
1086,497,Moderate,1
813,1086,Minor,2
946,1086,Moderate,1
953,1086,Moderate,1
1086,1281,Moderate,1
1286,1086,Moderate,1
1325,1086,Moderate,1
1436,1086,Moderate,1
1493,1086,Moderate,1
149,759,Moderate,1
759,186,Moderate,1
759,400,Moderate,1
474,759,Major,0
691,759,Moderate,1
759,963,Major,0
996,759,Moderate,1
1026,759,Moderate,1
1190,759,Moderate,1
1192,759,Moderate,1
1413,759,Major,0
1468,759,Moderate,1
1539,759,Major,0
575,41,Major,0
84,575,Major,0
102,575,Moderate,1
575,192,Major,0
299,575,Moderate,1
575,309,Major,0
313,575,Moderate,1
330,575,Major,0
575,400,Major,0
575,405,Major,0
426,575,Moderate,1
458,575,Major,0
477,575,Moderate,1
575,499,Moderate,1
570,575,Major,0
575,662,Moderate,1
575,663,Moderate,1
575,667,Major,0
701,575,Moderate,1
575,848,Major,0
879,575,Moderate,1
575,895,Moderate,1
575,926,Moderate,1
575,942,Moderate,1
575,953,Moderate,1
981,575,Major,0
982,575,Major,0
986,575,Moderate,1
575,995,Moderate,1
996,575,Major,0
575,1056,Major,0
1090,575,Major,0
1133,575,Moderate,1
1212,575,Moderate,1
1303,575,Moderate,1
575,1317,Major,0
1493,575,Moderate,1
1497,575,Moderate,1
40,5,Moderate,1
84,5,Major,0
14,5,Major,0
208,5,Moderate,1
299,5,Moderate,1
309,5,Major,0
330,5,Moderate,1
400,5,Moderate,1
405,5,Moderate,1
406,5,Major,0
535,5,Major,0
565,5,Moderate,1
570,5,Moderate,1
662,5,Moderate,1
786,5,Major,0
865,5,Moderate,1
866,5,Moderate,1
871,5,Moderate,1
872,5,Moderate,1
953,5,Moderate,1
1033,5,Moderate,1
1055,5,Major,0
1094,5,Major,0
1234,5,Major,0
1240,5,Moderate,1
1241,5,Moderate,1
1317,5,Moderate,1
1493,5,Moderate,1
6,9,Moderate,1
6,1293,Moderate,1
24,6,Minor,2
6,36,Moderate,1
833,6,Minor,2
6,45,Minor,2
6,72,Moderate,1
6,78,Minor,2
6,88,Moderate,1
6,95,Moderate,1
6,97,Moderate,1
6,129,Moderate,1
6,134,Moderate,1
6,141,Moderate,1
6,142,Moderate,1
6,149,Moderate,1
6,150,Minor,2
169,6,Moderate,1
6,175,Moderate,1
6,176,Moderate,1
6,188,Moderate,1
6,219,Moderate,1
6,229,Moderate,1
6,267,Moderate,1
6,18,Moderate,1
6,283,Moderate,1
6,286,Moderate,1
6,288,Moderate,1
6,293,Moderate,1
6,294,Moderate,1
6,302,Moderate,1
6,303,Moderate,1
6,309,Moderate,1
6,318,Minor,2
6,319,Minor,2
6,320,Moderate,1
6,332,Moderate,1
6,342,Moderate,1
6,1412,Moderate,1
6,358,Moderate,1
6,365,Moderate,1
6,373,Moderate,1
6,382,Moderate,1
6,385,Moderate,1
6,396,Minor,2
6,397,Minor,2
6,400,Moderate,1
6,402,Minor,2
6,403,Minor,2
6,405,Moderate,1
6,418,Moderate,1
6,423,Moderate,1
425,6,Minor,2
6,428,Moderate,1
6,430,Moderate,1
431,6,Moderate,1
433,6,Minor,2
6,435,Moderate,1
6,436,Moderate,1
6,454,Moderate,1
6,461,Moderate,1
6,480,Moderate,1
6,492,Moderate,1
6,507,Moderate,1
6,512,Moderate,1
6,514,Moderate,1
6,517,Moderate,1
6,537,Moderate,1
6,538,Moderate,1
6,539,Moderate,1
6,540,Moderate,1
6,541,Moderate,1
6,542,Moderate,1
6,544,Moderate,1
6,547,Moderate,1
6,549,Moderate,1
6,557,Moderate,1
6,560,Moderate,1
6,570,Moderate,1
6,594,Moderate,1
6,598,Minor,2
6,603,Moderate,1
6,604,Minor,2
6,611,Minor,2
6,617,Moderate,1
6,618,Moderate,1
6,624,Moderate,1
6,630,Moderate,1
6,646,Major,0
6,650,Moderate,1
666,6,Moderate,1
6,669,Moderate,1
6,677,Minor,2
6,1505,Minor,2
6,684,Moderate,1
6,689,Moderate,1
6,691,Moderate,1
6,693,Minor,2
6,694,Moderate,1
6,709,Moderate,1
6,711,Moderate,1
6,717,Moderate,1
6,718,Moderate,1
719,6,Moderate,1
6,754,Moderate,1
6,755,Moderate,1
6,785,Moderate,1
6,793,Major,0
801,6,Moderate,1
6,813,Moderate,1
6,819,Moderate,1
6,822,Moderate,1
831,6,Moderate,1
6,832,Moderate,1
6,836,Moderate,1
6,839,Moderate,1
6,840,Major,0
6,848,Moderate,1
6,856,Moderate,1
6,858,Moderate,1
6,879,Moderate,1
6,886,Moderate,1
6,890,Moderate,1
6,897,Moderate,1
6,905,Moderate,1
6,1058,Moderate,1
6,908,Moderate,1
6,910,Minor,2
6,907,Moderate,1
6,913,Moderate,1
6,914,Moderate,1
6,920,Moderate,1
6,921,Moderate,1
6,922,Moderate,1
6,936,Moderate,1
6,937,Minor,2
6,944,Moderate,1
6,957,Moderate,1
983,6,Moderate,1
6,992,Moderate,1
6,996,Moderate,1
1005,6,Moderate,1
6,1012,Moderate,1
6,1015,Moderate,1
6,1035,Moderate,1
6,1036,Moderate,1
6,1037,Moderate,1
6,1039,Moderate,1
1044,6,Moderate,1
6,1045,Moderate,1
6,1046,Moderate,1
6,1053,Moderate,1
6,1060,Moderate,1
6,1089,Moderate,1
6,1102,Moderate,1
6,1110,Moderate,1
6,1121,Moderate,1
6,1122,Major,0
6,1125,Moderate,1
1133,6,Moderate,1
6,1138,Moderate,1
6,1143,Moderate,1
1145,6,Moderate,1
6,1169,Moderate,1
6,1184,Moderate,1
6,1189,Minor,2
6,1190,Moderate,1
6,1192,Moderate,1
6,1204,Moderate,1
6,1206,Moderate,1
6,1207,Moderate,1
6,1209,Moderate,1
6,1210,Moderate,1
6,1214,Moderate,1
6,1221,Moderate,1
6,1228,Moderate,1
6,1230,Moderate,1
6,1248,Moderate,1
6,1272,Moderate,1
6,1273,Moderate,1
6,1274,Moderate,1
6,1296,Moderate,1
6,1300,Moderate,1
6,1317,Moderate,1
6,1327,Moderate,1
6,1349,Moderate,1
6,1359,Moderate,1
6,1376,Moderate,1
6,1397,Moderate,1
6,1401,Moderate,1
6,1403,Major,0
6,1404,Moderate,1
6,1423,Moderate,1
6,1437,Moderate,1
6,1425,Moderate,1
6,1440,Moderate,1
1456,6,Moderate,1
6,1458,Moderate,1
6,1468,Moderate,1
6,1470,Moderate,1
6,1471,Minor,2
6,1474,Moderate,1
6,1478,Moderate,1
6,1479,Moderate,1
6,29,Moderate,1
6,1492,Moderate,1
6,1498,Moderate,1
6,1543,Moderate,1
6,1547,Minor,2
1560,6,Moderate,1
823,84,Moderate,1
823,192,Major,0
823,299,Moderate,1
823,400,Minor,2
823,770,Minor,2
823,982,Moderate,1
823,1042,Moderate,1
823,1055,Minor,2
823,1355,Minor,2
1493,823,Minor,2
1138,10,Moderate,1
1138,34,Moderate,1
102,285,Moderate,1
1138,103,Moderate,1
285,192,Moderate,1
1138,217,Moderate,1
1138,287,Moderate,1
1138,313,Moderate,1
1138,367,Moderate,1
426,285,Moderate,1
1138,430,Moderate,1
477,285,Moderate,1
285,497,Moderate,1
285,499,Moderate,1
1138,501,Moderate,1
1138,529,Moderate,1
656,1138,Moderate,1
1138,657,Moderate,1
1138,660,Moderate,1
285,662,Moderate,1
663,285,Moderate,1
664,285,Moderate,1
1138,701,Moderate,1
1138,827,Moderate,1
1138,837,Moderate,1
843,285,Moderate,1
285,848,Moderate,1
1138,879,Moderate,1
285,895,Moderate,1
910,1138,Moderate,1
285,926,Moderate,1
285,942,Moderate,1
1138,959,Moderate,1
981,285,Moderate,1
982,285,Moderate,1
986,285,Moderate,1
1138,1001,Moderate,1
1133,1138,Moderate,1
1138,1156,Moderate,1
1175,285,Major,0
285,1176,Major,0
1138,1184,Moderate,1
1212,285,Moderate,1
1138,1251,Moderate,1
285,1281,Moderate,1
1138,1285,Moderate,1
1138,1302,Moderate,1
1138,1303,Moderate,1
1138,1304,Moderate,1
1138,1313,Moderate,1
1138,1317,Moderate,1
1138,1328,Moderate,1
1138,1447,Moderate,1
1138,1449,Moderate,1
1493,1138,Moderate,1
1497,285,Moderate,1
411,405,Major,0
411,458,Major,0
411,570,Major,0
411,667,Major,0
411,848,Major,0
411,1056,Major,0
1090,411,Major,0
411,1317,Major,0
10,7,Moderate,1
7,40,Minor,2
14,7,Minor,2
102,7,Moderate,1
7,104,Minor,2
149,7,Moderate,1
7,186,Moderate,1
192,7,Moderate,1
207,7,Moderate,1
7,208,Moderate,1
7,210,Moderate,1
7,211,Moderate,1
7,213,Moderate,1
7,215,Moderate,1
7,216,Moderate,1
7,217,Moderate,1
287,7,Moderate,1
299,7,Moderate,1
313,7,Moderate,1
7,367,Moderate,1
7,400,Moderate,1
426,7,Moderate,1
458,7,Major,0
477,7,Moderate,1
7,501,Moderate,1
7,512,Moderate,1
514,7,Moderate,1
7,529,Moderate,1
656,7,Moderate,1
657,7,Moderate,1
660,7,Moderate,1
7,662,Moderate,1
663,7,Moderate,1
691,7,Moderate,1
701,7,Moderate,1
7,771,Minor,2
7,865,Minor,2
7,866,Minor,2
7,871,Minor,2
7,872,Minor,2
7,895,Moderate,1
7,926,Moderate,1
981,7,Moderate,1
982,7,Moderate,1
986,7,Moderate,1
1001,7,Moderate,1
1190,7,Moderate,1
1192,7,Moderate,1
1212,7,Moderate,1
1251,7,Moderate,1
1303,7,Moderate,1
1359,7,Minor,2
1447,7,Moderate,1
1449,7,Moderate,1
1468,7,Moderate,1
1497,7,Moderate,1
10,693,Minor,2
693,34,Minor,2
693,217,Minor,2
287,693,Minor,2
693,367,Minor,2
693,501,Minor,2
693,529,Minor,2
656,693,Minor,2
693,657,Minor,2
693,660,Minor,2
693,827,Minor,2
693,837,Minor,2
910,693,Minor,2
959,693,Minor,2
1001,693,Minor,2
693,1156,Minor,2
693,1184,Minor,2
693,1251,Minor,2
1285,693,Minor,2
693,1302,Minor,2
693,1313,Minor,2
693,1328,Minor,2
693,1447,Minor,2
693,1449,Minor,2
1493,693,Minor,2
8,102,Minor,2
8,18,Moderate,1
8,299,Minor,2
8,313,Minor,2
8,426,Minor,2
8,662,Moderate,1
8,663,Minor,2
8,701,Minor,2
8,895,Minor,2
8,926,Minor,2
8,942,Minor,2
8,996,Moderate,1
8,1212,Minor,2
8,1240,Minor,2
8,1241,Minor,2
8,1303,Minor,2
1497,8,Minor,2
202,35,Moderate,1
437,41,Major,0
84,437,Moderate,1
202,14,Minor,2
102,437,Moderate,1
437,104,Moderate,1
192,437,Major,0
299,437,Moderate,1
313,437,Moderate,1
400,437,Moderate,1
405,437,Moderate,1
426,437,Moderate,1
458,437,Moderate,1
477,437,Moderate,1
437,499,Moderate,1
570,437,Moderate,1
663,437,Moderate,1
667,437,Moderate,1
701,437,Moderate,1
437,771,Moderate,1
843,437,Moderate,1
437,895,Moderate,1
437,926,Moderate,1
942,437,Moderate,1
981,437,Major,0
982,437,Major,0
986,437,Moderate,1
995,437,Moderate,1
996,437,Major,0
202,1042,Moderate,1
1056,437,Moderate,1
1090,437,Moderate,1
1212,437,Moderate,1
1303,437,Moderate,1
1317,437,Moderate,1
1497,437,Moderate,1
337,41,Major,0
337,102,Moderate,1
337,104,Moderate,1
337,192,Major,0
337,299,Moderate,1
337,313,Moderate,1
337,400,Moderate,1
337,405,Moderate,1
337,426,Moderate,1
337,458,Moderate,1
337,477,Moderate,1
337,497,Moderate,1
337,499,Moderate,1
337,570,Moderate,1
337,662,Moderate,1
337,663,Moderate,1
337,667,Moderate,1
337,701,Moderate,1
337,771,Moderate,1
337,843,Moderate,1
337,848,Moderate,1
337,895,Moderate,1
337,926,Moderate,1
337,942,Moderate,1
981,337,Major,0
982,337,Major,0
337,986,Moderate,1
337,995,Moderate,1
337,996,Major,0
337,1056,Moderate,1
337,1090,Moderate,1
337,1212,Moderate,1
337,1281,Moderate,1
337,1303,Moderate,1
337,1317,Moderate,1
1493,337,Moderate,1
1497,337,Moderate,1
1293,753,Moderate,1
66,753,Moderate,1
86,753,Moderate,1
99,753,Moderate,1
141,753,Moderate,1
183,753,Major,0
408,753,Moderate,1
410,753,Moderate,1
430,753,Moderate,1
438,753,Major,0
467,753,Moderate,1
477,419,Moderate,1
481,753,Moderate,1
524,753,Major,0
525,753,Major,0
617,753,Moderate,1
673,753,Moderate,1
717,753,Moderate,1
724,753,Moderate,1
749,753,Major,0
750,753,Moderate,1
755,753,Moderate,1
753,821,Moderate,1
753,817,Moderate,1
822,753,Moderate,1
830,753,Major,0
831,753,Moderate,1
834,753,Moderate,1
879,753,Moderate,1
1058,753,Moderate,1
907,753,Moderate,1
753,931,Major,0
932,753,Major,0
934,753,Moderate,1
939,753,Major,0
942,419,Moderate,1
956,753,Moderate,1
960,753,Moderate,1
981,419,Major,0
982,419,Major,0
986,419,Moderate,1
753,1050,Moderate,1
753,1085,Major,0
1125,753,Moderate,1
1126,753,Major,0
1133,753,Moderate,1
1143,753,Moderate,1
1160,753,Moderate,1
1203,753,Major,0
1273,753,Moderate,1
1292,753,Moderate,1
1296,753,Moderate,1
1307,753,Major,0
1317,753,Moderate,1
753,1344,Moderate,1
1401,753,Moderate,1
1463,753,Major,0
1527,753,Moderate,1
1459,41,Major,0
1459,102,Moderate,1
1459,161,Moderate,1
1459,192,Major,0
1459,299,Moderate,1
1459,304,Major,0
1459,309,Moderate,1
1459,313,Moderate,1
1459,405,Major,0
1459,426,Moderate,1
1459,430,Major,0
1459,458,Major,0
1459,477,Major,0
1459,497,Moderate,1
1459,499,Moderate,1
1459,512,Major,0
1459,565,Moderate,1
1459,570,Major,0
1459,661,Moderate,1
1459,663,Moderate,1
1459,667,Major,0
1459,701,Moderate,1
1459,781,Moderate,1
1459,782,Moderate,1
1459,813,Major,0
1459,843,Moderate,1
1459,848,Major,0
1459,868,Moderate,1
1459,871,Moderate,1
1459,879,Major,0
1459,895,Moderate,1
1459,926,Moderate,1
1459,942,Major,0
1459,946,Minor,2
1459,981,Major,0
1459,982,Major,0
1459,986,Moderate,1
1459,995,Moderate,1
1459,996,Major,0
1459,1056,Major,0
1459,1090,Major,0
1459,1095,Major,0
1459,1129,Moderate,1
1133,1459,Major,0
1459,1212,Moderate,1
1459,1281,Moderate,1
1459,1303,Moderate,1
1459,1317,Major,0
1459,1497,Moderate,1
10,9,Moderate,1
9,34,Moderate,1
67,9,Moderate,1
68,9,Moderate,1
69,9,Moderate,1
70,9,Moderate,1
9,14,Major,0
127,9,Moderate,1
149,9,Moderate,1
9,161,Moderate,1
9,217,Moderate,1
287,9,Moderate,1
304,9,Major,0
9,367,Moderate,1
9,400,Moderate,1
474,9,Minor,2
9,501,Moderate,1
9,529,Moderate,1
656,9,Moderate,1
9,657,Moderate,1
9,660,Moderate,1
9,661,Moderate,1
691,9,Moderate,1
9,781,Moderate,1
782,9,Moderate,1
9,827,Moderate,1
9,837,Moderate,1
9,868,Moderate,1
9,871,Moderate,1
910,9,Major,0
959,9,Moderate,1
9,963,Minor,2
1001,9,Moderate,1
9,1129,Moderate,1
9,1156,Moderate,1
9,1184,Moderate,1
9,1190,Moderate,1
1192,9,Moderate,1
9,1251,Moderate,1
1285,9,Moderate,1
9,1302,Moderate,1
9,1313,Moderate,1
9,1317,Moderate,1
9,1328,Moderate,1
1413,9,Minor,2
9,1447,Moderate,1
9,1449,Moderate,1
1468,9,Moderate,1
1493,9,Moderate,1
102,12,Moderate,1
103,12,Moderate,1
313,12,Moderate,1
426,12,Moderate,1
663,12,Moderate,1
664,12,Moderate,1
701,12,Moderate,1
12,895,Moderate,1
12,926,Moderate,1
1212,12,Moderate,1
1303,12,Moderate,1
1304,12,Moderate,1
1497,12,Moderate,1
13,18,Minor,2
2,565,Moderate,1
10,565,Moderate,1
21,565,Moderate,1
565,1293,Moderate,1
26,565,Minor,2
28,565,Moderate,1
565,40,Minor,2
565,56,Moderate,1
565,58,Moderate,1
565,59,Moderate,1
60,565,Moderate,1
64,565,Moderate,1
75,565,Moderate,1
565,79,Moderate,1
81,565,Moderate,1
565,86,Moderate,1
565,88,Moderate,1
565,90,Moderate,1
565,95,Moderate,1
96,565,Moderate,1
565,97,Major,0
99,565,Moderate,1
565,110,Minor,2
118,565,Moderate,1
565,120,Moderate,1
