ID_A,ID_B,Level
84,459,Minor
299,459,Minor
309,459,Minor
330,459,Minor
400,459,Minor
953,459,Minor
1493,459,Minor
1554,299,Minor
1554,309,Minor
946,4,Minor
4,994,Minor
94,1086,Minor
813,1086,Minor
24,6,Minor
833,6,Minor
6,45,Minor
6,78,Minor
6,150,Minor
6,318,Minor
6,319,Minor
6,396,Minor
6,397,Minor
6,402,Minor
6,403,Minor
425,6,Minor
433,6,Minor
6,598,Minor
6,604,Minor
6,611,Minor
6,677,Minor
6,1505,Minor
6,693,Minor
6,910,Minor
6,937,Minor
6,1189,Minor
6,1471,Minor
6,1547,Minor
823,400,Minor
823,770,Minor
823,1055,Minor
823,1355,Minor
1493,823,Minor
7,40,Minor
14,7,Minor
7,104,Minor
7,771,Minor
7,865,Minor
7,866,Minor
7,871,Minor
7,872,Minor
1359,7,Minor
10,693,Minor
693,34,Minor
693,217,Minor
287,693,Minor
693,367,Minor
693,501,Minor
693,529,Minor
656,693,Minor
693,657,Minor
693,660,Minor
693,827,Minor
693,837,Minor
910,693,Minor
959,693,Minor
1001,693,Minor
693,1156,Minor
693,1184,Minor
693,1251,Minor
1285,693,Minor
693,1302,Minor
693,1313,Minor
693,1328,Minor
693,1447,Minor
693,1449,Minor
1493,693,Minor
8,102,Minor
8,299,Minor
8,313,Minor
8,426,Minor
8,663,Minor
8,701,Minor
8,895,Minor
8,926,Minor
8,942,Minor
8,1212,Minor
8,1240,Minor
8,1241,Minor
8,1303,Minor
1497,8,Minor
202,14,Minor
1459,946,Minor
474,9,Minor
9,963,Minor
1413,9,Minor
13,18,Minor
26,565,Minor
565,40,Minor
565,110,Minor
565,208,Minor
347,565,Minor
420,565,Minor
482,565,Minor
507,565,Minor
555,565,Minor
574,565,Minor
606,565,Minor
565,704,Minor
723,565,Minor
565,775,Minor
776,565,Minor
565,865,Minor
565,866,Minor
565,871,Minor
565,872,Minor
565,884,Minor
888,565,Minor
565,885,Minor
946,565,Minor
1005,565,Minor
1016,565,Minor
565,1069,Minor
1162,565,Minor
565,1171,Minor
565,1185,Minor
565,1199,Minor
565,1237,Minor
565,1331,Minor
565,1345,Minor
565,1366,Minor
1370,565,Minor
1451,565,Minor
1472,565,Minor
565,1538,Minor
26,1240,Minor
1240,40,Minor
1240,110,Minor
1240,208,Minor
304,1240,Minor
305,1240,Minor
347,1240,Minor
354,1240,Minor
420,1240,Minor
1240,427,Minor
1240,466,Minor
482,1240,Minor
507,1240,Minor
555,1240,Minor
1240,559,Minor
574,1240,Minor
1240,704,Minor
723,1240,Minor
1240,775,Minor
776,1240,Minor
1240,865,Minor
1240,866,Minor
1240,871,Minor
1240,872,Minor
1240,884,Minor
888,1240,Minor
1240,894,Minor
1240,885,Minor
1240,943,Minor
956,1240,Minor
959,1240,Minor
1240,973,Minor
987,1240,Minor
1005,1240,Minor
1016,1240,Minor
1240,1017,Minor
1240,1069,Minor
1240,1092,Minor
1240,1157,Minor
1162,1240,Minor
1240,1171,Minor
1183,1240,Minor
1240,1185,Minor
1240,1237,Minor
1240,1243,Minor
1272,1240,Minor
1278,1240,Minor
1240,1331,Minor
1240,1345,Minor
1358,1240,Minor
1370,1240,Minor
1451,1240,Minor
1472,1240,Minor
1240,1500,Minor
1240,1519,Minor
1240,1523,Minor
1240,1538,Minor
14,1234,Minor
1234,110,Minor
1234,221,Minor
1234,292,Minor
347,1234,Minor
482,1234,Minor
1234,826,Minor
1234,885,Minor
1234,1171,Minor
1234,1185,Minor
1234,1237,Minor
1234,1297,Minor
1294,1234,Minor
1234,1345,Minor
1234,1519,Minor
1234,1538,Minor
127,617,Minor
149,617,Minor
617,186,Minor
617,400,Minor
691,617,Minor
1190,617,Minor
1192,617,Minor
1468,617,Minor
94,1221,Minor
474,50,Minor
474,134,Minor
474,142,Minor
474,188,Minor
474,283,Minor
474,288,Minor
354,474,Minor
474,423,Minor
474,427,Minor
474,544,Minor
474,547,Minor
474,630,Minor
474,661,Minor
474,689,Minor
474,694,Minor
474,718,Minor
474,756,Minor
474,836,Minor
474,876,Minor
474,913,Minor
474,944,Minor
474,1169,Minor
474,1232,Minor
474,1351,Minor
1456,474,Minor
474,1472,Minor
474,1474,Minor
776,299,Minor
776,826,Minor
776,1033,Minor
776,1241,Minor
1017,583,Minor
1017,994,Minor
1055,1017,Minor
1017,1156,Minor
1017,1220,Minor
514,836,Minor
299,704,Minor
704,826,Minor
704,871,Minor
1033,704,Minor
1241,704,Minor
1220,22,Minor
94,549,Minor
299,549,Minor
549,1156,Minor
819,1286,Minor
549,1388,Minor
691,1293,Minor
691,40,Minor
691,86,Minor
691,89,Minor
691,208,Minor
691,717,Minor
750,691,Minor
691,754,Minor
691,755,Minor
691,821,Minor
691,865,Minor
691,872,Minor
691,1058,Minor
691,974,Minor
691,995,Minor
691,1160,Minor
691,1273,Minor
691,1296,Minor
691,1331,Minor
691,1401,Minor
1431,691,Minor
1540,691,Minor
691,1556,Minor
691,1557,Minor
691,1558,Minor
691,1559,Minor
846,309,Minor
846,953,Minor
299,23,Minor
23,400,Minor
127,1293,Minor
149,1293,Minor
1293,186,Minor
1293,400,Minor
946,1293,Minor
1190,1293,Minor
1192,1293,Minor
1468,1293,Minor
24,10,Minor
24,34,Minor
24,217,Minor
24,287,Minor
24,367,Minor
24,501,Minor
24,529,Minor
656,24,Minor
24,657,Minor
24,660,Minor
24,827,Minor
24,837,Minor
24,910,Minor
24,959,Minor
24,1001,Minor
24,1156,Minor
24,1184,Minor
24,1251,Minor
24,1285,Minor
24,1302,Minor
24,1313,Minor
24,1328,Minor
24,1447,Minor
24,1449,Minor
1493,24,Minor
299,547,Minor
299,26,Minor
1033,26,Minor
26,1241,Minor
290,299,Minor
290,1060,Minor
309,618,Minor
14,624,Minor
630,14,Minor
299,631,Minor
299,650,Minor
28,299,Minor
28,946,Minor
102,689,Minor
313,689,Minor
426,689,Minor
663,689,Minor
701,689,Minor
689,895,Minor
689,926,Minor
689,963,Minor
1212,689,Minor
1303,689,Minor
1413,689,Minor
1497,689,Minor
32,65,Minor
32,287,Minor
45,34,Minor
150,34,Minor
34,318,Minor
319,34,Minor
396,34,Minor
397,34,Minor
402,34,Minor
403,34,Minor
433,34,Minor
598,34,Minor
604,34,Minor
34,611,Minor
34,677,Minor
1505,34,Minor
937,34,Minor
1189,34,Minor
1471,34,Minor
833,910,Minor
45,910,Minor
910,318,Minor
910,319,Minor
910,396,Minor
910,397,Minor
910,402,Minor
910,403,Minor
433,910,Minor
910,598,Minor
910,611,Minor
910,763,Minor
910,784,Minor
910,894,Minor
956,910,Minor
833,1156,Minor
45,1156,Minor
53,1156,Minor
1156,89,Minor
150,1156,Minor
319,1156,Minor
397,1156,Minor
1156,403,Minor
433,1156,Minor
