ID_A,ID_B,Level
1457,1085,Major
1458,1085,Major
1463,1085,Major
1470,1085,Major
1475,1085,Major
1478,1085,Major
1479,1085,Major
29,1085,Major
1487,1085,Major
1085,1507,Major
1508,1085,Major
1519,1085,Major
1522,1085,Major
1525,1085,Major
1526,1085,Major
1534,1085,Major
1536,1085,Major
1537,1085,Major
1542,1085,Major
1085,1553,Major
1560,1085,Major
72,1088,Major
1088,147,Major
168,1088,Major
511,1088,Major
585,1088,Major
618,1088,Major
624,1088,Major
709,1088,Major
719,1088,Major
842,1088,Major
1145,1088,Major
1172,1088,Major
1198,1088,Major
1259,1088,Major
1261,1088,Major
1298,1088,Major
1088,1326,Major
1389,1088,Major
1392,1088,Major
1403,1088,Major
1446,1088,Major
1088,1494,Major
1088,1501,Major
1088,1507,Major
1542,1088,Major
1091,1327,Major
1091,1376,Major
2,1093,Major
64,1093,Major
78,1093,Major
87,1093,Major
96,1093,Major
1093,129,Major
146,1093,Major
1093,168,Major
181,1093,Major
286,1093,Major
304,1093,Major
405,1093,Major
434,1093,Major
473,1093,Major
1093,510,Major
1093,511,Major
517,1093,Major
519,1093,Major
1093,526,Major
531,1093,Major
555,1093,Major
563,1093,Major
1093,567,Major
570,1093,Major
574,1093,Major
1093,585,Major
587,1093,Major
590,1093,Major
603,1093,Major
606,1093,Major
608,1093,Major
613,1093,Major
616,1093,Major
620,1093,Major
624,1093,Major
1093,627,Major
646,1093,Major
650,1093,Major
1093,653,Major
1093,654,Major
666,1093,Major
667,1093,Major
669,1093,Major
678,1093,Major
679,1093,Major
680,1093,Major
1093,684,Major
698,1093,Major
700,1093,Major
1093,703,Major
705,1093,Major
708,1093,Major
711,1093,Major
712,1093,Major
715,1093,Major
719,1093,Major
723,1093,Major
802,1093,Major
839,1093,Major
1093,840,Major
842,1093,Major
884,1093,Major
905,1093,Major
921,1093,Major
1095,1093,Major
1101,1093,Major
1093,1102,Major
1103,1093,Major
1118,1093,Major
1121,1093,Major
1093,1122,Major
1145,1093,Major
1152,1093,Major
1154,1093,Major
1162,1093,Major
1093,1164,Major
1093,1167,Major
1093,1171,Major
1172,1093,Major
1185,1093,Major
1197,1093,Major
1198,1093,Major
1200,1093,Major
1201,1093,Major
1209,1093,Major
1211,1093,Major
1219,1093,Major
1228,1093,Major
1231,1093,Major
1232,1093,Major
1242,1093,Major
1093,1246,Major
1093,1247,Major
1093,1257,Major
1259,1093,Major
1261,1093,Major
1273,1093,Major
1275,1093,Major
1282,1093,Major
1093,1288,Major
1093,1290,Major
1298,1093,Major
1093,1311,Major
1314,1093,Major
1316,1093,Major
1093,1326,Major
1343,1093,Major
1346,1093,Major
1348,1093,Major
1349,1093,Major
1370,1093,Major
1372,1093,Major
1376,1093,Major
1389,1093,Major
1390,1093,Major
1392,1093,Major
1401,1093,Major
1402,1093,Major
1093,1403,Major
1408,1093,Major
1425,1093,Major
1431,1093,Major
1440,1093,Major
1441,1093,Major
1443,1093,Major
1093,1446,Major
1451,1093,Major
1457,1093,Major
1465,1093,Major
1093,1475,Major
1478,1093,Major
1479,1093,Major
29,1093,Major
1488,1093,Major
1093,1494,Major
1093,1501,Major
1093,1507,Major
1093,1512,Major
1519,1093,Major
1522,1093,Major
1093,1525,Major
1527,1093,Major
1093,1541,Major
1542,1093,Major
1093,1544,Major
1093,1553,Major
1560,1093,Major
1094,527,Major
1094,1103,Major
1101,1203,Major
2,1102,Major
473,1102,Major
1102,510,Major
1102,511,Major
517,1102,Major
1102,526,Major
1102,585,Major
608,1102,Major
1102,653,Major
1102,654,Major
666,1102,Major
1102,684,Major
708,1102,Major
1103,1102,Major
1102,1257,Major
1282,1102,Major
1102,1288,Major
1102,1326,Major
1346,1102,Major
1372,1102,Major
1376,1102,Major
1102,1403,Major
1457,1102,Major
1519,1102,Major
1102,1525,Major
72,1103,Major
1103,129,Major
146,1103,Major
1103,168,Major
304,1103,Major
531,1103,Major
1103,585,Major
618,1103,Major
646,1103,Major
669,1103,Major
678,1103,Major
679,1103,Major
698,1103,Major
705,1103,Major
1103,709,Major
711,1103,Major
719,1103,Major
802,1103,Major
1103,840,Major
842,1103,Major
905,1103,Major
1095,1103,Major
1103,1122,Major
1154,1103,Major
1201,1103,Major
1211,1103,Major
1231,1103,Major
1232,1103,Major
1241,1103,Major
1103,1257,Major
1298,1103,Major
1103,1311,Major
1103,1326,Major
1348,1103,Major
1349,1103,Major
1376,1103,Major
1389,1103,Major
1392,1103,Major
1103,1403,Major
1419,1103,Major
1425,1103,Major
1103,1446,Major
1457,1103,Major
1103,1494,Major
1103,1501,Major
1103,1507,Major
1519,1103,Major
1103,1525,Major
1542,1103,Major
1560,1103,Major
1105,585,Major
1105,1298,Major
1105,1326,Major
1105,1403,Major
1105,1419,Major
1105,1446,Major
1105,1507,Major
511,1106,Major
567,1106,Major
709,1106,Major
713,1106,Major
1257,1106,Major
1109,1403,Major
1114,585,Major
1114,592,Major
1114,1298,Major
1114,1326,Major
1114,1403,Major
1114,1419,Major
1114,1446,Major
1114,1507,Major
1118,585,Major
1118,1257,Major
1118,1326,Major
1457,1118,Major
1118,1519,Major
1118,1525,Major
130,1122,Major
356,1122,Major
359,1122,Major
510,1122,Major
511,1122,Major
517,1122,Major
527,1122,Major
567,1122,Major
608,1122,Major
647,1122,Major
648,1122,Major
653,1122,Major
654,1122,Major
709,1122,Major
713,1122,Major
1161,1122,Major
1171,1122,Major
1180,1122,Major
1246,1122,Major
1257,1122,Major
1288,1122,Major
1326,1122,Major
1345,1122,Major
1346,1122,Major
1372,1122,Major
1396,1122,Major
1403,1122,Major
1437,1122,Major
1458,1122,Major
1466,1122,Major
1525,1122,Major
1526,1122,Major
1536,1122,Major
1203,1125,Major
1126,1203,Major
1145,342,Major
1145,510,Major
1145,560,Major
1145,567,Major
1145,653,Major
1145,654,Major
1145,703,Major
1145,709,Major
1145,713,Major
1145,745,Major
1145,1257,Major
1145,1326,Major
1145,1327,Major
1145,1345,Major
1145,1372,Major
1145,1376,Major
1145,1397,Major
1145,1403,Major
1145,1446,Major
1145,1457,Major
1145,1458,Major
1145,1507,Major
1145,1525,Major
1145,1526,Major
1152,585,Major
1152,709,Major
1152,1326,Major
1457,1152,Major
1519,1152,Major
1152,1525,Major
2,1154,Major
473,1154,Major
1154,510,Major
1154,511,Major
517,1154,Major
1154,526,Major
1154,567,Major
1154,585,Major
608,1154,Major
1154,653,Major
1154,654,Major
666,1154,Major
1154,684,Major
1154,708,Major
1154,709,Major
713,1154,Major
1154,1257,Major
1154,1282,Major
1154,1288,Major
1154,1326,Major
1346,1154,Major
1154,1372,Major
