ID_A,ID_B,Level
710,1290,Moderate
723,1290,Moderate
884,1290,Moderate
989,1290,Moderate
1128,1290,Moderate
1136,1290,Moderate
1290,1235,Moderate
1306,1290,Moderate
1314,1290,Moderate
1317,1290,Moderate
1290,1339,Moderate
1356,1290,Moderate
1290,1357,Moderate
1368,1290,Moderate
1370,1290,Moderate
1373,1290,Moderate
1290,1386,Moderate
1290,1394,Moderate
1396,1290,Moderate
1419,1290,Moderate
1437,1290,Moderate
1426,1290,Moderate
1429,1290,Moderate
1451,1290,Moderate
1455,1290,Moderate
1493,1290,Moderate
1514,1290,Moderate
1290,1525,Moderate
1527,1290,Moderate
1533,1290,Moderate
1534,1290,Moderate
1537,1290,Moderate
1290,1544,Moderate
1419,1531,Moderate
713,1292,Moderate
745,1292,Moderate
1292,1380,Moderate
1292,1403,Moderate
1455,1292,Moderate
1292,1525,Moderate
2,1296,Moderate
1296,473,Moderate
1296,510,Moderate
1296,511,Moderate
517,1296,Moderate
1296,526,Moderate
1296,585,Moderate
608,1296,Moderate
1296,653,Moderate
1296,654,Moderate
666,1296,Moderate
1296,684,Moderate
1296,708,Moderate
1296,1326,Moderate
1346,1296,Moderate
1296,1372,Moderate
1376,1296,Moderate
1457,1296,Moderate
1296,1519,Moderate
1296,1525,Moderate
130,1301,Moderate
377,1301,Moderate
473,1301,Moderate
517,1301,Moderate
527,1301,Moderate
558,1301,Moderate
560,1301,Moderate
1301,653,Moderate
708,1301,Moderate
709,1301,Moderate
713,1301,Moderate
1455,1301,Moderate
1460,1301,Moderate
1525,1301,Moderate
1526,1301,Moderate
1534,1301,Moderate
1536,1301,Moderate
1537,1301,Moderate
539,1302,Moderate
560,1302,Moderate
1302,653,Moderate
1303,710,Moderate
1306,342,Moderate
1306,473,Moderate
1306,510,Moderate
1306,511,Moderate
1306,527,Moderate
1306,560,Moderate
1306,561,Moderate
647,1306,Moderate
1306,653,Moderate
1306,654,Moderate
1306,703,Moderate
1306,709,Moderate
1306,710,Moderate
1306,713,Moderate
1306,745,Moderate
1306,1087,Moderate
1306,1345,Moderate
1346,1306,Moderate
1306,1372,Moderate
1306,1376,Moderate
1306,1397,Moderate
1306,1419,Moderate
1306,1446,Moderate
1306,1457,Moderate
1306,1458,Moderate
1306,1525,Moderate
1306,1526,Moderate
1306,1534,Moderate
1306,1536,Moderate
1537,1306,Moderate
1309,510,Moderate
511,1309,Moderate
1309,653,Moderate
1309,654,Moderate
1403,1309,Moderate
1525,1309,Moderate
644,1310,Moderate
709,1310,Moderate
1235,1310,Moderate
1339,1310,Moderate
1357,1310,Moderate
1455,1310,Moderate
1514,1310,Moderate
53,1311,Moderate
558,1311,Moderate
560,1311,Moderate
647,1311,Moderate
745,1311,Moderate
1087,1311,Moderate
1345,1311,Moderate
1397,1311,Moderate
1398,1311,Moderate
1419,1311,Moderate
1437,1311,Moderate
1446,1311,Moderate
1458,1311,Moderate
1466,1311,Moderate
1507,1311,Moderate
1526,1311,Moderate
1534,1311,Moderate
1536,1311,Moderate
1537,1311,Moderate
53,1312,Moderate
1525,1312,Moderate
2,1314,Moderate
473,1314,Moderate
1314,510,Moderate
1314,511,Moderate
517,1314,Moderate
1314,526,Moderate
1314,567,Moderate
608,1314,Moderate
1314,653,Moderate
1314,654,Moderate
666,1314,Moderate
1314,684,Moderate
1314,703,Moderate
1314,708,Moderate
1314,710,Moderate
713,1314,Moderate
1314,1167,Moderate
1346,1314,Moderate
1314,1372,Moderate
1376,1314,Moderate
1314,1397,Moderate
1419,1314,Moderate
2,1316,Moderate
473,1316,Moderate
1316,510,Moderate
1316,511,Moderate
517,1316,Moderate
1316,526,Moderate
608,1316,Moderate
1316,653,Moderate
1316,654,Moderate
666,1316,Moderate
1316,684,Moderate
708,1316,Moderate
1346,1316,Moderate
1316,1372,Moderate
1376,1316,Moderate
1419,1316,Moderate
1318,53,Moderate
1318,510,Moderate
1318,511,Moderate
1318,567,Moderate
1318,713,Moderate
1318,1376,Moderate
1318,1397,Moderate
1318,1525,Moderate
53,1319,Moderate
1319,510,Moderate
1319,511,Moderate
1319,567,Moderate
1319,653,Moderate
1319,654,Moderate
1319,703,Moderate
713,1319,Moderate
1346,1319,Moderate
1376,1319,Moderate
1319,1525,Moderate
1319,1526,Moderate
1323,510,Moderate
560,1323,Moderate
1323,653,Moderate
1087,1323,Moderate
1376,1323,Moderate
1323,1380,Moderate
1323,1403,Moderate
1325,510,Moderate
1325,511,Moderate
517,1325,Moderate
1325,526,Moderate
1325,558,Moderate
1325,567,Moderate
1325,592,Moderate
713,1325,Moderate
1325,1087,Moderate
1325,1376,Moderate
1325,1380,Moderate
1325,1397,Moderate
1398,1325,Moderate
1325,1419,Moderate
1437,1325,Moderate
1325,1458,Moderate
1534,1325,Moderate
1536,1325,Moderate
1537,1325,Moderate
661,1326,Moderate
717,1326,Moderate
750,1326,Moderate
868,1326,Moderate
871,1326,Moderate
1129,1326,Moderate
1273,1326,Moderate
1401,1326,Moderate
1328,342,Moderate
539,1328,Moderate
1328,560,Moderate
1328,1397,Moderate
527,1331,Moderate
1376,1331,Moderate
527,1341,Moderate
2,1343,Moderate
53,1343,Moderate
473,1343,Moderate
1343,510,Moderate
1343,511,Moderate
517,1343,Moderate
1343,526,Moderate
1343,567,Moderate
608,1343,Moderate
1343,653,Moderate
1343,654,Moderate
666,1343,Moderate
1343,684,Moderate
708,1343,Moderate
713,1343,Moderate
1346,1343,Moderate
1372,1343,Moderate
1376,1343,Moderate
1419,1343,Moderate
53,1345,Moderate
195,1345,Moderate
1345,510,Moderate
1345,533,Moderate
568,1345,Moderate
613,1345,Moderate
1345,626,Moderate
669,1345,Moderate
670,1345,Moderate
754,1345,Moderate
840,1345,Moderate
1136,1345,Moderate
1368,1345,Moderate
1374,1345,Moderate
1345,1386,Moderate
1345,1394,Moderate
1429,1345,Moderate
1456,1345,Moderate
1493,1345,Moderate
1345,1503,Moderate
1525,1345,Moderate
1345,1545,Moderate
1550,1345,Moderate
2,1346,Moderate
53,1346,Moderate
1346,64,Moderate
1346,78,Moderate
1346,92,Moderate
1346,96,Moderate
1346,130,Moderate
195,1346,Moderate
1346,286,Moderate
425,1346,Moderate
1346,473,Moderate
1346,510,Moderate
1346,511,Moderate
1346,517,Moderate
1346,526,Moderate
1346,527,Moderate
1346,533,Moderate
1346,558,Moderate
1346,559,Moderate
1346,560,Moderate
1346,563,Moderate
1346,568,Moderate
1346,582,Moderate
1346,587,Moderate
590,1346,Moderate
1346,600,Moderate
1346,601,Moderate
1346,603,Moderate
1346,608,Moderate
1346,620,Moderate
1346,624,Moderate
1346,626,Moderate
1346,627,Moderate
1346,641,Moderate
1346,650,Moderate
1346,653,Moderate
1346,654,Moderate
1346,661,Moderate
666,1346,Moderate
1346,667,Moderate
1346,670,Moderate
1346,680,Moderate
1346,684,Moderate
1346,700,Moderate
1346,708,Moderate
1346,709,Moderate
1346,715,Moderate
1346,717,Moderate
1346,745,Moderate
750,1346,Moderate
1346,774,Moderate
1346,839,Moderate
1346,868,Moderate
1346,871,Moderate
1346,921,Moderate
1346,989,Moderate
1346,1087,Moderate
1346,1121,Moderate
1346,1128,Moderate
1346,1129,Moderate
1346,1136,Moderate
1346,1197,Moderate
1346,1200,Moderate
1346,1209,Moderate
1346,1247,Moderate
1346,1273,Moderate
1346,1354,Moderate
1346,1368,Moderate
